Requirement ID,recommendation #,CONTROL #,GR #,MS PBMM Blueprint,CONTROL NAME,Title,Discription,rationale statement,remediation procedure,audit procedure (Manual),audit procedure (Automatic),Expected Result (output of command),Check condition,Compliance Status,Evidence,
AZ-L1-009,2.2,"SI-2(1)

SI-3(1)

SI-4

CM-2(2)

CM-8(2)

SI-4","SI-2 #10
No specific ref to SI-2(1)

SI-3 #9
No specific ref to SI-3(1)

SI-4 # 9,10,11

CM-2 #12
No specific ref to CM-2(2)

CM-8 #12
No specific ref to CM-8(2)
No specific ref to SI-3(1)

SI-4 # 9,10,11","SI-2
No specific ref to SI-2(1)

SI-3(1)

SI-4","  FLAW REMEDIATION | CENTRAL MANAGEMEN

MALICIOUS CODE PROTECTION | CENTRAL MANAGEMENT

INFORMATION SYSTEM MONITORING 

 BASELINE CONFIGURATION | AUTOMATION SUPPORT FOR ACCURACY / CURRENCY

 INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED MAINTENANCE",Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',Enable Automatic provisioning of monitoring agent to collect security data.," Azure Security Center provisions the Microsoft Monitoring Agent on all existing supported Azure virtual machines and any new ones that are created. The Microsoft Monitoring agent scans for various security-related configurations and events such as system updates, OS vulnerabilities, and endpoint protection and provides alerts.","1. Go to `Security Center`
2. Click on `Security Policy`
3. Click on each subscription
4. Click on `Data Collection`
5. Set `Automatic provisioning of monitoring agent` to `On`
","1: From Security Center's menu in the portal, select Pricing & settings.
2: Select the relevant subscription.
3: Select Data Collection.
4: Under Auto Provisioning, select On to enable automatic provisioning.
5: Select Save. The agent will be deployed on all VMs within 15 minutes.        
","$autoprovision=(Get-AzSecurityAutoProvisioningSetting).AutoProvision
if($autoprovision -eq 'On'){Write-Output 'Auto provisioning is ON'; return $autoprovision}else{Write-Output 'The Policy ""Auto provisioning is Off"" and Non-Compliant'; return $autoprovision}
",On,should contain,,EAZ-L1-009,
AZ-L1-012,2.5,"SI-3(1)

SI-4",11,," MALICIOUS CODE PROTECTION | CENTRAL MANAGEMENT

INFORMATION SYSTEM MONITORING ",Ensure that 'Endpoint protection' is set to 'On'                                                                                                                                                                                                          (New Wording)     Monitor missing Endpoint Protection in Azure Security Center,Enable Endpoint protection recommendations for virtual machines.,"When this setting is enabled, it recommends endpoint protection be provisioned for all Windows virtual machines to help identify and remove viruses, spyware, and other malicious software.",1: Select Assignments from the Policy blade.                     2: Select the ASC Default Initiative                                 3: Enable Policy Enforcement,1: Select Assignments from the Policy blade.                                   2: Select the ASC Default Initiative                                 3: Verify Policy Enforcement setting   Note: Monitor Missing Endpoint Protection in Azure security Center Policy is part of the ASC initiative.                                                                ,"$tocheck='/providers/Microsoft.Authorization/policyDefinitions/af6cd1bd-1635-48cb-bde7-5b15693900b9';
$polObj=Get-AzPolicyDefinition -Id $tocheck
$polasgn=(Get-AzPolicyAssignment  -Name 'SecurityCenterBuiltIn').Properties; 
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce""){Write-Output ""$($_.displayName) Initiative is not Enforced""}else{Write-Output ""$($_.displayName) Initiative is Enforced""};
if(($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { Write-Output ""The Policy '$($polObj.Properties.displayName)' is Non-compliant"" }
  else{ Write-Output ""The Policy '$($polObj.Properties.displayName)' is compliant"" } };
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce"" -or ($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { return ""non-compliant"" } }",compliant,should contain,,EAZ-L1-012,
AZ-L1-013,2.6,CM-6(1) ,6,,CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,Ensure that 'Disk encryption' is set to 'On'  (New Wording)             Disk encryption should be applied on virtual machines,Enable Disk encryption recommendations for virtual machines.,"When this setting is enabled, it recommends enabling disk encryption in all virtual machines to enhance data protection at rest.",1: Select Assignments from the Policy blade.                                   2: Select the ASC Default Initiative                                 3: Enable Policy Enforcement setting   Note: Disk encryption should be applied on virtual machines,1: Select Assignments from the Policy blade.                                   2: Select the ASC Default Initiative                                 3: Verify Policy Enforcement setting   Note: Disk encryption should be applied on virtual machines,"$tocheck='/providers/Microsoft.Authorization/policyDefinitions/0961003e-5a0a-4549-abde-af6a37f2724d';
$polObj=Get-AzPolicyDefinition -Id $tocheck
$polasgn=(Get-AzPolicyAssignment  -Name 'SecurityCenterBuiltIn').Properties; 
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce""){Write-Output ""$($_.displayName) Initiative is not Enforced""}else{Write-Output ""$($_.displayName) Initiative is Enforced""};
if(($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { Write-Output ""$($polObj.Properties.displayName) is non-compliant"" }
  else{ Write-Output ""$($polObj.Properties.displayName) is compliant"" } };
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce"" -or ($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { return ""non-compliant"" } }",compliant,should contain,,EAZ-L1-013,
AZ-L1-028,3.2,SC-28(1),SC-28(1) #6,SC-28(1),PROTECTION OF INFORMASTION \ CRYPTOGRAPHIC PROTECTION,Ensure that 'Storage service encryption' is set to Enabled for Blob Service,Enable data encryption at rest for blobs.,"Storage service encryption protects your data at rest. Azure Storage encrypts your data as it's written in its datacenters, and automatically decrypts it for you as you access it.","1. Go to `Storage Accounts`
2. For each storage account, go to `Encryption` under `BLOB SERVICE`
3. Select 'Microsoft-managed keys or Customer-managed keys","1. Go to `Storage Accounts`
2. For each storage account, go to `Encryption` under `BLOB SERVICE`
3. Notice 'Either Microsoft-managed keys or Customer-managed keys is selected.","$stAccount = Get-AzStorageAccount; 
$stAccount | %{if($_.Encryption.KeySource -ne 'Microsoft.Storage'){Write-Output ""Storage Account: '$($_.StorageAccountName)' is not using Microsoft provided key""}
else{Write-Output ""Storage Account:'$($_.StorageAccountName)' is using Microsoft provided key""}};
$stAccount | %{if($_.Encryption.KeySource -ne 'Microsoft.Storage'){return ""non-compliant""}}",non-compliant,should not contain,,EAZ-L1-028,
AZ-L1-014,2.7,CM-6(1) ,9,,CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,Ensure that 'Network security groups' is set to 'On'                                          (New-Wording)                 Internet-facing virtual machines should be protected with network security groups.,Enable Network security groups recommendations for virtual machines.,"When this setting is enabled, it recommends that network security groups be configured to control inbound and outbound traffic to VMs that have public endpoints. Network security groups that are configured for a subnet is inherited by all virtual machine network interfaces unless otherwise specified. In addition to checking that a network security group has been configured, this policy assesses inbound security rules to identify rules that allow incoming traffic.","Assign the NSG to the VM's subnet:
i. In the Networking page, select the 'Virtual network/subnet'.
ii. Open the ""Subnets"" menu.
iii. Select the subnet where your VM is deployed.
iv. Select the Network Security Group to assign to the subnet and click ""Save"".
Assign the NSG to the NIC:
i. In the Networking page, select the network interface that's associated with the selected VM.
ii. In the Network interfaces page, select the 'Network security group' menu item.
iii. Click 'Edit' at the top of the page.
iv. Follow the on-screen instructions and select the Network Security Group to assign to this NIC.","Assign the NSG to the VM's subnet:
????i. In the Networking page, select the 'Virtual network/subnet'.
????ii. Open the ""Subnets"" menu.
????iii. Select the subnet where your VM is deployed.
????iv. Select the Network","$tocheck='/providers/Microsoft.Authorization/policyDefinitions/f6de0be7-9a8a-4b8a-b349-43cf02d22f7c';
$polObj=Get-AzPolicyDefinition -Id $tocheck
$polasgn=(Get-AzPolicyAssignment  -Name 'SecurityCenterBuiltIn').Properties; 
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce""){Write-Output ""$($_.displayName) Initiative is not Enforced""}else{Write-Output ""$($_.displayName) Initiative is Enforced""};
if(($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { Write-Output ""$($polObj.Properties.displayName) is non-compliant"" }
  else{ Write-Output ""$($polObj.Properties.displayName) is compliant"" } };
$polasgn | %{if ($_.enforcementMode -eq ""DoNotEnforce"" -or ($tocheck -in ($_.policyDefinitionId | %{Get-AzPolicyDefinition -Id $_ | %{$_.Properties.policydefinitions.policyDefinitionId}})) -eq $false)
  { return ""non-compliant"" } }",non-compliant,should not contain,,EAZ-L1-014,
AZ-L1-021 .1,2.14,CM-6(1) ,"10, 11",, CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,Ensure that 'SQL auditing & Threat detection' is set to 'On'                                  Ensure that 'Threat detection' is set to 'On' (Checks Advanced Data Security Settings),Enable SQL auditing & Threat detection recommendations.,"When this setting is enabled, it recommends that auditing of access to Azure Database be enabled for compliance and also advanced threat detection, for investigation purposes.","1. Go to `Security Center`
2. Click on `Security Policy`
3. Click on the security policy subscription
4. Click on `Security policy`
5. Set `SQL auditing & Threat detection` to `On`","1. Go to `Security Center`
2. Click on `Security Policy`
3. Click on the security policy subscription
4. Click on `Security policy`
5. Ensure that `SQL auditing & Threat detection` is set to `On`","$sqlsrv = Get-AzResourceGroup | % {Get-AzSqlServer -ResourceGroupName $_.ResourceGroupName};
$sqlsrv | % {if ((Get-AzSqlServerAdvancedDataSecurityPolicy -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName).IsEnabled -ne 'True') {Write-Output ""$($_.ServerName) does NOT have Threat detection set to ON""}else{Write-Output ""$($_.ServerName) has Threat detection set to ON""}};
$sqlsrv | % {if ((Get-AzSqlServerAdvancedDataSecurityPolicy -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName).IsEnabled -ne 'True') {return ""non-compliant""}};",non-compliant,should not contain,,EAZ-L1-021.1,
AZ-L1-021 .2,2.14,CM-6(1) ,10,, CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,Ensure that 'SQL auditing & Threat detection' is set to 'On'                                  Ensure that 'SQL auditing' is set to 'On'  (Checks Auditing),Enable SQL auditing & Threat detection recommendations.,"When this setting is enabled, it recommends that auditing of access to Azure Database be enabled for compliance and also advanced threat detection, for investigation purposes.","To enable SQL server auditing:
1. Select the SQL server.
2. Under Auditing, select On.
3. Select Storage details and configure a storage account for the audit log.
4. Click Save.","To enable SQL server auditing:
1. Select the SQL server.
2. Under Auditing, select On.
3. Select Storage details and configure a storage account for the audit log.
4. Verify Auditing status.","$sqlsrv = Get-AzResourceGroup | % {Get-AzSqlServer -ResourceGroupName $_.ResourceGroupName};
$sqlsrv | % {if ((Get-AzSqlServerAudit -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName).BlobStorageTargetState -eq 'Disabled') {Write-Output ""$($_.ServerName) does NOT have Audting ON""}else{Write-Output ""$($_.ServerName) has Audting ON""}};
$sqlsrv | % {if ((Get-AzSqlServerAudit -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName).BlobStorageTargetState -eq 'Disabled') {return 'non-compliant'}};",non-compliant,should not contain,,EAZ-L1-021.2,
AZ-L1-022,2.15,,6,, CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,Ensure that 'SQL Encryption' is set to 'On',Enable SQL Encryption recommendations.,"When this setting is enabled, it recommends that encryption at rest be enabled for your Azure SQL Database, associated backups, and transaction log files. Even if your data is breached, it will not be readable.","1. Select Transparent data encryption blade from the database
2. Set Data encryption to ON.
","1. Select Transparent data encryption blade from the database
2. Verify Data encryption is set to ON.","$sqlsrv = Get-AzResourceGroup | % {Get-AzSqlServer -ResourceGroupName $_.ResourceGroupName};
$sqlsrv | % {Get-AzSqlDatabase -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName} | %{if($_.DatabaseName -ne 'master'){if((Get-AzSqlDatabaseTransparentDataEncryption -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName -DatabaseName $_.DatabaseName).State -eq 'Disabled'){Write-Output ""$($_.DatabaseName) does not have Data Encryption set to ON""}else{Write-Output ""$($_.DatabaseName) has Data Encryption set to ON""}}};
$sqlsrv | % {Get-AzSqlDatabase -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName} | %{if($_.DatabaseName -ne 'master'){if((Get-AzSqlDatabaseTransparentDataEncryption -ServerName $_.ServerName -ResourceGroupName $_.ResourceGroupName -DatabaseName $_.DatabaseName).State -eq 'Disabled'){return ""non-compliant""}}}",,,,EAZ-L1-022,
AZ-L1-027,3.1,SC-8(1),SC-8(1) #7,SC-8(1), TRANSMISSION CONFIDENTIALITY AND INTEGRITY | CRYPTOGRAPHIC OR ALTERNATE PHYSICAL PROTECTION,Ensure that 'Secure transfer required' is set to 'Enabled',Enable data encryption is transit.,The secure transfer option enhances the security of your storage account by only allowing requests to the storage account by a secure connection. ,"1. Go to `Storage Accounts`
2. For each storage account, go to `Configuration`
3. Set `Secure transfer required` to `Enabled`
","1. Go to `Storage Accounts`
2. For each storage account, go to `Configuration`
3. Verify `Secure transfer required` settings is `Enabled`
","$STA = Get-AzStorageAccount; 
$STA | %{ if($_.EnableHttpsTrafficOnly -ne 'True') {Write-Output ""Storage Account: $($_.StorageAccountName) is non-compliant"" } 
else {Write-Output ""Storage Account: $($_.StorageAccountName) is compliant""} }; 
$STA | %{if($_.EnableHttpsTrafficOnly -ne 'True') {return 'non-compliant'}} ",non-compliant,should not contain,,EAZ-L1-027,
AZ-L1-032,3.6,SC-28(1),6,, PROTECTION OF INFORMATION AT REST | CRYPTOGRAPHIC PROTECTION,Ensure that 'Storage service encryption' is set to Enabled for File Service,Enable data encryption at rest for file service.,"Storage service encryption protects your data at rest. Azure Storage encrypts your data as it's written in its datacenters, and automatically decrypts it for you as you access it.","1. Go to `Storage Accounts`
2. For each storage account, go to `Encryption` under `Settings`
3. Ensure that `Storage service encryption` is set to `Enabled`","1. Go to `Storage Accounts`
2. For each storage account, go to `Encryption` under `Settings`
3. Ensure that `Storage service encryption` is set to `Enabled`","$stAccount = Get-AzStorageAccount; 
$stAccount | %{if($_.Encryption.KeySource -ne 'Microsoft.Storage'){Write-Output ""Storage Account: $($_.StorageAccountName) is encrypted with Customer managed key""}
else{Write-Output ""Storage Account: $($_.StorageAccountName) is encrypted with Microsoft provided key""}};
$stAccount | %{if($_.Encryption.KeySource -ne 'Microsoft.Storage'){return ""non-compliant""}}",non-compliant,should not contain,,EAZ-L1-032,
